frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1.0,[2174.2708221290586 1162.8606126897416 2782.647627147825 1735.496420345226],[2430.137451171875 1566.021240234375 2578.9677734375 1625.5528564453125],0.8911144137382507,NV51VSU,0.1959156140621556
4,1.0,[2175.3003543934033 1174.9062087852276 2787.6253736459325 1752.105811065528],[2431.770263671875 1589.1513671875 2575.488525390625 1643.0167236328125],0.8426898121833801,HU51NSU,0.1409922009862606
5,1.0,[2175.5211627878716 1178.7959813830744 2786.8660820851037 1755.13501183457],[2430.2890625 1590.6214599609375 2581.94384765625 1650.76220703125],0.40624576807022095,HL51YSU,0.20671221830521114
9,1.0,[2182.984201269073 1199.7632375038713 2807.395887050681 1788.5518163441486],[2436.78173828125 1612.06494140625 2587.1083984375 1672.2894287109375],0.8971981406211853,ML51VSU,0.6720713783164494
11,1.0,[2184.58650731194 1210.0348608645077 2813.8884466378718 1802.5396497281658],[2438.430419921875 1633.04345703125 2586.203857421875 1682.291015625],0.32520246505737305,ML51VSU,0.49078836387410457
17,1.0,[2184.873961564331 1222.1078194554036 2828.7142148098847 1835.153087344793],[2445.84814453125 1663.062744140625 2596.409423828125 1719.2816162109375],0.9239941835403442,ML51VSU,0.4880858541257107
19,1.0,[2179.392039777636 1235.11177966988 2824.851172302319 1850.1510783102117],[2448.128173828125 1682.1749267578125 2601.06298828125 1731.3900146484375],0.8563605546951294,MD51YSU,0.08635691653127162
20,1.0,[2181.3277757514784 1237.8321916371608 2833.205541884546 1856.266681277163],[2450.694580078125 1687.902587890625 2602.53271484375 1741.450927734375],0.9266977310180664,MT51VSU,0.10806331768010356
24,1.0,[2183.7513685422045 1262.5047965425315 2852.815191349894 1892.6807857264362],[2456.20703125 1715.517578125 2610.17919921875 1767.9501953125],0.9346446990966797,MT51VSU,0.4218353333042391
26,1.0,[2184.452068722211 1266.3302651967053 2859.788189063959 1905.423484224081],[2458.751708984375 1728.2288818359375 2613.430419921875 1779.078125],0.51820307970047,MZ51VSU,0.07656752009149248
28,1.0,[2186.4683541599043 1276.8965699635364 2868.5232774784527 1921.4351192596646],[2461.906494140625 1738.411376953125 2615.799072265625 1793.9937744140625],0.8479456305503845,CD51VSV,0.06662395927689176
29,1.0,[2186.889003067762 1282.6526554260165 2872.5688803439107 1927.2915715020697],[2463.561279296875 1748.604736328125 2618.069091796875 1798.519775390625],0.8262993693351746,HO51VSU,0.08854507400334767
32,1.0,[2188.292646288288 1299.1937600395693 2881.6115803686807 1950.6670500354337],[2472.15087890625 1767.966552734375 2628.988525390625 1820.474853515625],0.9074062705039978,CT51VSU,0.06080716043967316
33,1.0,[2188.2228222135723 1303.5952777356056 2885.705508150729 1958.8928222676],[2471.7705078125 1776.492431640625 2631.0732421875 1831.6395263671875],0.9104057550430298,ST51YSU,0.1144069052176123
56,1.0,[2212.142343327511 1445.4489269275114 2953.3540843978567 2151.453477993075],[2514.79150390625 1953.9296875 2683.8359375 2009.26171875],0.9311257600784302,IT51VSU,0.05378142071444731
57,1.0,[2212.477725276451 1448.1407937644835 2960.8566321065896 2155.152651072671],[2517.8193359375 1965.004150390625 2687.326904296875 2017.10595703125],0.2927614152431488,HT51VSU,0.22834273915313213
58,1.0,[2211.148273732382 1450.255046178534 2966.118073514961 2155.9699665312387],[2516.119873046875 1968.72119140625 2689.591552734375 2025.9166259765625],0.9271228909492493,MO51VSU,0.1540545602615388
64,1.0,[2209.705115639259 1484.7568467000722 2972.3303428558684 2163.4107163274243],[2534.59765625 2020.3026123046875 2708.3564453125 2077.973876953125],0.9361024498939514,LT51VSU,0.13405763351623262
68,1.0,[2219.924727737251 1505.776840045634 2980.8132611676633 2163.4079985337235],[2535.887451171875 2056.92236328125 2721.23095703125 2113.6875],0.32916709780693054,MU51VSU,0.531448811315471
70,1.0,[2230.4034507049255 1522.6563126205233 2998.9119447044877 2163.572184161809],[2549.9423828125 2070.9677734375 2728.55224609375 2131.0625],0.9281290173530579,MT51VSU,0.4637550440751554
75,4.0,[1032.5882482497782 1277.4820358786692 1696.0002906369004 1779.1060344377224],[1294.25634765625 1609.0513916015625 1433.0736083984375 1659.079833984375],0.2590484619140625,GY15OGJ,0.4907715712152858
85,4.0,[993.44226534163 1324.007342086562 1689.0816461258582 1850.0936027991343],[1269.4161376953125 1667.2529296875 1428.2108154296875 1721.291015625],0.28369900584220886,GX15OGJ,0.33891722487396003
90,4.0,[981.0137094960736 1346.741447998475 1686.9284472122517 1887.143819234423],[1263.1072998046875 1704.34130859375 1407.4000244140625 1756.840087890625],0.5254929661750793,GX15OGJ,0.29432474275062154
95,4.0,[965.817235922369 1372.3243935540072 1682.5795982519621 1923.9495283771903],[1245.321044921875 1737.00537109375 1392.9066162109375 1794.792724609375],0.7358789443969727,GX15OGJ,0.2572687365589454
96,4.0,[961.7398722594071 1379.4878662350218 1682.0351973941747 1932.738670894528],[1243.6265869140625 1747.682373046875 1390.116455078125 1799.176025390625],0.6834415197372437,GX15OGJ,0.4706388057860289
97,4.0,[959.294542420233 1383.3944793794333 1682.1422643840833 1938.4274105432935],[1242.359130859375 1750.884521484375 1395.91796875 1803.42626953125],0.551586925983429,GX15OGJ,0.6197668318787443
98,4.0,[956.7168659952229 1390.5782759025187 1681.301484366844 1946.1831407963818],[1239.2392578125 1760.2034912109375 1399.6962890625 1813.4608154296875],0.7495085597038269,GX15OCJ,0.23660030309251454
101,4.0,[946.418152370817 1410.8246362507643 1679.4907078385304 1970.8821903333787],[1230.945068359375 1780.1015625 1386.60400390625 1838.3587646484375],0.4918091595172882,GX15OCJ,0.225360784461714
102,4.0,[941.9041386773606 1415.6118307341558 1676.7929718284877 1978.8918608597119],[1221.77734375 1786.22314453125 1390.444580078125 1844.654052734375],0.2997871935367584,GY15OCJ,0.2567851973124388
103,4.0,[939.4945999486597 1419.2904906500657 1676.3067608968552 1985.962994228723],[1222.193603515625 1794.304931640625 1379.3570556640625 1847.0703125],0.8502055406570435,GX15OCJ,0.6892650478080642
104,4.0,[936.9205978715318 1424.0495383381315 1675.1497530131683 1995.7582352140355],[1224.63525390625 1803.20654296875 1380.4404296875 1858.704833984375],0.35939159989356995,GI15OGJ,0.09554915925393108
105,4.0,[933.6895965038427 1434.2736130115215 1673.7937011465267 2006.0903004709537],[1224.8333740234375 1813.552490234375 1380.80078125 1864.0185546875],0.7894607782363892,GX15OCJ,0.5003515215290657
107,4.0,[927.6426913308289 1444.6492702962644 1671.3329397526397 2017.6032508043093],[1214.86376953125 1826.614990234375 1373.70654296875 1880.94921875],0.7607423067092896,GX15OGJ,0.20323151572329795
109,4.0,[916.9970448478973 1460.2592780009377 1667.5617429276433 2032.8841625414352],[1205.188720703125 1840.144775390625 1363.9027099609375 1897.153564453125],0.42382314801216125,GX15OGJ,0.18715272959098553
111,4.0,[907.5804772246242 1477.1547797816438 1664.819843635647 2050.7991345065175],[1196.7197265625 1862.053955078125 1362.177490234375 1914.2041015625],0.8075829744338989,GY15OGJ,0.6084869123263805
114,4.0,[894.8924784762753 1498.5998340427814 1660.195361292117 2079.980592250463],[1195.179443359375 1884.7965087890625 1350.92333984375 1942.006103515625],0.7541749477386475,GX15OGJ,0.5744065676847422
115,4.0,[892.2248717100504 1504.0149776807616 1659.0838093615505 2089.7729870251073],[1191.2139892578125 1889.816162109375 1349.65966796875 1946.3470458984375],0.8444708585739136,GX15OGJ,0.5596184617997946
120,4.0,[872.2148761270932 1538.9987068517225 1651.015946103671 2132.9072917657],[1171.7449951171875 1934.94775390625 1340.9212646484375 1993.6893310546875],0.47313040494918823,GY15OCJ,0.15018101259706218
121,4.0,[866.5395901274003 1545.24321263564 1648.78642407971 2140.60617747961],[1173.586181640625 1940.5704345703125 1342.101318359375 1996.9661865234375],0.6036023497581482,GY15OCJ,0.47318055188748337
124,4.0,[853.2392459076989 1567.2246819751535 1645.1865191145037 2159.277839739272],[1159.6531982421875 1967.506103515625 1324.4666748046875 2028.14013671875],0.28259220719337463,GY15UCJ,0.24061819493660053
125,4.0,[848.2333587748307 1573.3357218907004 1642.1907263880935 2162.4848637659197],[1151.835205078125 1976.8267822265625 1319.175537109375 2037.712158203125],0.6440622210502625,GY15OGJ,0.6105078025017063
125,15.0,[2234.8685116511015 1594.389934834956 2965.6897196105137 2142.5687896184627],[2519.86279296875 1963.962646484375 2720.7958984375 2035.1806640625],0.625060498714447,LM13VCV,0.24342156718145536
126,4.0,[843.9765626502247 1580.6913531879939 1640.4852586692361 2165.1218522473314],[1149.2720947265625 1988.4635009765625 1322.15478515625 2050.01416015625],0.45250096917152405,GY15OGJ,0.22952787041415174
127,15.0,[2236.2201639072373 1606.469775904169 2971.471781693999 2151.639887246543],[2526.32373046875 1973.0899658203125 2712.807373046875 2047.7509765625],0.5004135370254517,LM13VCV,0.25322236083448824
129,15.0,[2237.487353859247 1618.69853097753 2975.3402363544806 2157.435690667472],[2534.074951171875 2004.973876953125 2715.7177734375 2064.3818359375],0.6666975021362305,LM13VCV,0.2659453530079899
130,15.0,[2238.789475564919 1622.8875992479266 2976.727061533488 2157.3292820501597],[2533.71240234375 2008.086181640625 2722.085693359375 2069.828125],0.7404405474662781,LM13VCV,0.3960996781682818
130,9.0,[1116.2069582919376 1099.5014542191602 1618.1732817108832 1531.6648096688236],[1288.6353759765625 1368.912353515625 1423.787841796875 1419.815673828125],0.4639437198638916,YH05ZZK,0.3135869567320926
133,15.0,[2241.825672172242 1645.0932599068708 2985.476197752404 2166.1988832801017],[2531.0751953125 2032.697021484375 2732.461181640625 2100.494384765625],0.6644865274429321,LM13VCV,0.2352857266760824
133,9.0,[1107.6901054551145 1108.0360134470197 1616.4810358120585 1544.5181845393727],[1285.23388671875 1382.5916748046875 1418.7490234375 1430.5888671875],0.5939639806747437,KH05ZZK,0.7532209075739684
135,15.0,[2243.3937696088797 1660.6241685018956 2995.017883761351 2170.294133458977],[2537.181640625 2058.40576171875 2731.443359375 2121.1513671875],0.9007659554481506,LM13VCV,0.2015962689934616
136,15.0,[2244.552913276373 1665.9423169579984 2999.54693485235 2170.23074763714],[2536.647216796875 2060.8193359375 2732.32421875 2127.01416015625],0.8847180604934692,LM13VCV,0.3451514588676661
137,15.0,[2244.658784605552 1673.115873081229 3004.4923807037403 2170.842286714104],[2541.546142578125 2075.892822265625 2733.59521484375 2136.6083984375],0.5096065998077393,LH13VCV,0.5070396651193043
138,15.0,[2244.958099028264 1680.603543820415 3008.755070841772 2170.9972076122735],[2531.697021484375 2082.242431640625 2744.212890625 2150.461669921875],0.596845805644989,LM13VCV,0.5224726684707403
139,9.0,[1083.272079323899 1124.3642955271785 1611.252448484368 1566.564265775035],[1265.915283203125 1404.8212890625 1407.9140625 1455.182373046875],0.8261640667915344,KH05ZZK,0.24890657426008522
140,9.0,[1079.5141191778725 1125.7120842514994 1606.6914099651972 1569.0823036772092],[1268.747802734375 1407.9403076171875 1407.6529541015625 1457.7342529296875],0.8324272036552429,KH05ZZK,0.8371691175297236
144,3.0,[2034.476031659291 1249.852735011937 2647.9179607022015 1741.1191881509158],[2278.52978515625 1571.7403564453125 2448.46728515625 1625.590576171875],0.33670955896377563,AP05JEO,0.1726558588754157
145,3.0,[2034.1093709154125 1252.3323789830079 2648.803065332159 1745.1769900446857],[2280.896484375 1575.25 2450.4677734375 1626.15869140625],0.5204135179519653,AP05JEO,0.20359029804837442
147,3.0,[2037.8989348527962 1264.216541967774 2658.2683515030617 1760.455510992469],[2279.244873046875 1587.169677734375 2457.306640625 1641.978271484375],0.6941801905632019,AP05JED,0.1883084662014524
148,9.0,[1065.2690213501671 1159.573368721483 1590.9678779465587 1610.8959927151373],[1244.44775390625 1442.383544921875 1390.319580078125 1492.7633056640625],0.4587879478931427,KK05ZZK,0.2613626537894543
148,3.0,[2037.925254433005 1267.3579176502749 2659.371829110228 1764.4732141793515],[2279.044921875 1590.26708984375 2460.951904296875 1645.76318359375],0.45009854435920715,AP05JEO,0.21024246498866872
149,3.0,[2042.9859953607406 1272.3573278692397 2664.896264464129 1771.4128860814276],[2283.4951171875 1596.3870849609375 2458.331298828125 1651.578369140625],0.4818512499332428,AP05JEO,0.505599598409897
150,3.0,[2039.9879642345159 1277.2726409826525 2663.661708117099 1778.828358683924],[2287.6044921875 1601.85107421875 2463.550537109375 1656.051513671875],0.802898645401001,AP05JEO,0.27072077370445446
153,9.0,[1050.549274043842 1177.0754159869205 1582.0712610068983 1635.107143657446],[1237.204345703125 1466.337890625 1384.219970703125 1516.839599609375],0.8965414762496948,KH05ZZK,0.28538483948462573
154,3.0,[2038.6323303342479 1287.9986127628104 2672.2527437111758 1798.8536450969023],[2287.294677734375 1621.5054931640625 2472.015869140625 1676.20703125],0.7676980495452881,AP05JEO,0.35762366652619004
155,9.0,[1042.6495802448217 1180.074628442993 1578.3127881733471 1643.4281192632443],[1235.601806640625 1474.192626953125 1380.871337890625 1525.2872314453125],0.7666845321655273,KH05ZZK,0.3661410302444673
155,3.0,[2039.7900287238608 1292.0397979625445 2676.2748926865997 1803.2234991370392],[2283.8720703125 1627.6292724609375 2473.244384765625 1679.65869140625],0.257971853017807,AP05JEO,0.5315880949150462
156,3.0,[2040.7280193114211 1297.1848906142823 2679.89634803036 1809.4700251334093],[2283.126220703125 1633.218017578125 2477.67529296875 1689.3292236328125],0.795479416847229,AP05JEO,0.6583555113762275
156,9.0,[1041.6194059880945 1183.4646743401888 1577.516136436931 1648.9770712127572],[1233.606689453125 1477.59375 1378.870361328125 1529.1044921875],0.5553696155548096,KH05ZZK,0.14083433337821777
157,3.0,[2041.4907538303341 1300.5858722128492 2683.1792724188062 1814.9712671296334],[2287.091064453125 1634.99609375 2482.33935546875 1692.600830078125],0.7658819556236267,AP05JEO,0.3349916554097552
158,9.0,[1036.2462462738154 1188.7083758258761 1574.0855382567383 1657.496525938406],[1227.488037109375 1489.197509765625 1376.6575927734375 1539.33544921875],0.5710175633430481,KH05ZZK,0.7000709454565726
158,3.0,[2042.4106114798349 1305.2262147658048 2686.158538335786 1821.8200904363848],[2296.60791015625 1643.90771484375 2475.253173828125 1699.6842041015625],0.35984310507774353,AP05JEO,0.7750365126680353
159,9.0,[1035.7963235855302 1193.0767161214808 1574.3788796012698 1662.6140038084704],[1224.2237548828125 1493.169921875 1374.207763671875 1544.91259765625],0.8280876278877258,KH05ZZK,0.2971594938740256
159,3.0,[2042.8298181554264 1309.5997282512508 2687.9014806001305 1828.9038353890378],[2298.82568359375 1648.2059326171875 2472.911376953125 1704.268798828125],0.40056467056274414,AP05JEO,0.32000981662986233
160,9.0,[1035.80007388936 1194.4479981078327 1574.1259641746185 1665.607593106123],[1223.3616943359375 1495.155517578125 1372.296142578125 1547.00927734375],0.8796159625053406,KH05ZIK,0.10259565488146107
160,3.0,[2041.79515497069 1312.2126599406097 2687.6504962723534 1834.5844708629952],[2296.931884765625 1653.2501220703125 2472.623046875 1708.77001953125],0.6766341328620911,AP05JEO,0.4249784624315217
162,9.0,[1030.8789576757324 1206.8238117862452 1571.1039924839558 1680.3367744879856],[1223.1173095703125 1506.2647705078125 1369.46435546875 1554.95556640625],0.9077082872390747,KH05ZTK,0.7420375830307745
162,3.0,[2042.0067980890226 1322.1434181144334 2693.187749069937 1850.5978262852893],[2294.482177734375 1669.958251953125 2485.637451171875 1723.626220703125],0.7120102643966675,AP05JEO,0.46992270461802227
163,9.0,[1028.9713916192572 1210.7059636358515 1570.114856316247 1683.9897695120346],[1220.7860107421875 1506.992431640625 1367.6151123046875 1556.93505859375],0.9131957292556763,KH05ZTK,0.635303519561556
164,3.0,[2042.4208771863605 1329.1717476179795 2693.4041041042447 1863.0823335500734],[2300.74951171875 1682.1031494140625 2495.59521484375 1736.4462890625],0.4158637821674347,AP05JEO,0.36628247344025283
165,9.0,[1025.5771018367536 1219.1927620719907 1568.5187010954332 1695.2804992770612],[1219.9932861328125 1520.166015625 1362.8004150390625 1570.5120849609375],0.8979993462562561,KH05ZZK,0.7600182895145373
165,3.0,[2044.5655819648778 1334.9770861536808 2694.3191750632063 1870.8522531950239],[2297.39990234375 1686.2413330078125 2488.56640625 1741.8642578125],0.6988732218742371,AP05JEO,0.23639195792665385
166,3.0,[2044.3578359024953 1339.330215753072 2692.6852944243883 1876.1052331897608],[2309.568603515625 1690.2550048828125 2490.497314453125 1749.126708984375],0.47470635175704956,AP05JEO,0.2848316876204934
167,3.0,[2051.2053183259654 1346.25794015438 2701.6455697795186 1884.4503878937478],[2305.9619140625 1697.7513427734375 2487.328369140625 1753.464111328125],0.4947332441806793,AP05JEO,0.592111556127854
172,3.0,[2053.8992020728583 1375.9233084101509 2724.86659110611 1917.668044563811],[2307.00537109375 1729.104248046875 2505.6015625 1785.7283935546875],0.5391764640808105,AP05JEO,0.4092848101524739
174,3.0,[2054.880987909587 1387.5776676757978 2731.816075290156 1935.5627289053032],[2319.7587890625 1739.7109375 2502.88720703125 1799.969970703125],0.2507181763648987,AP05JEO,0.0956118137282145
175,3.0,[2056.069309224286 1391.7602379752375 2734.5608461045945 1941.8269777341052],[2321.756591796875 1745.55908203125 2508.97802734375 1803.5146484375],0.5109261870384216,AF05JEU,0.14240645625241952
176,3.0,[2057.429897360246 1396.6704578009078 2740.3310447677436 1948.7913076786028],[2319.4521484375 1756.3070068359375 2520.702392578125 1814.59033203125],0.26620206236839294,AP05JEO,0.29246298233333645
177,3.0,[2057.273659680024 1400.9546286754965 2742.468040141799 1955.4601938219569],[2330.01171875 1764.58837890625 2516.298828125 1819.73193359375],0.9070605039596558,AP05JEO,0.5009025131372977
178,9.0,[998.3313364984466 1277.7597468628478 1560.5522365317847 1762.942290620253],[1190.869140625 1582.887939453125 1350.831787109375 1636.391357421875],0.8912125825881958,KH05ZZK,0.22824409058036987
178,3.0,[2057.226936478321 1404.357862138859 2744.6932299169225 1960.1822126870309],[2331.029541015625 1768.900634765625 2520.388671875 1823.2540283203125],0.815239429473877,AP05JEO,0.14776257087896932
179,9.0,[993.1056540880954 1282.2275797242694 1559.3345796837166 1768.4977245310163],[1189.47265625 1590.7042236328125 1344.554443359375 1643.148193359375],0.9217305779457092,KH05ZZK,0.47469514701191995
179,3.0,[2058.8129936130736 1411.0809968489825 2747.135979888574 1967.7250948809178],[2326.20068359375 1777.1033935546875 2531.04541015625 1834.1781005859375],0.8715617060661316,AP05JED,0.3155724186413201
180,3.0,[2059.6015365521753 1418.1515356830623 2747.0279658187574 1976.4862035563156],[2329.791015625 1785.1256103515625 2521.5810546875 1845.74609375],0.6138350367546082,AP05JED,0.3499438500565536
181,3.0,[2058.9553444694343 1424.5331837642495 2743.9100695911634 1984.018334828808],[2334.85791015625 1791.3548583984375 2525.134765625 1847.6064453125],0.9004356265068054,AP05JED,0.33958768598294065
182,9.0,[984.5747036449466 1294.3750055113715 1558.280910800966 1788.8554409807234],[1183.1456298828125 1606.488037109375 1341.1566162109375 1659.09130859375],0.9262050986289978,RH05ZZK,0.4318575390248156
