                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.135,                 45.321,                 2.3551,                 2.4047,                 55.674,                 1.4275,                      0,                      0,                      0,                      0,                 3.6554,                 23.921,                 1.8799,                 3.3273,                 28.887,                 1.7734,             0.00066296,             0.00066296,             0.00066296
                      2,                 3.6942,                 5.9131,                 1.7164,                 3.5911,                 7.5782,                 1.6028,                0.09947,                0.13667,                0.05283,                 0.0093,                 3.4334,                 4.2121,                 1.6411,                 3.1452,                 4.8554,                 1.5609,              0.0013033,              0.0013033,              0.0013033
                      3,                 2.9197,                 2.8033,                 1.4193,                 2.8652,                 3.4417,                  1.321,                 0.2315,                0.26667,                0.17547,                0.05528,                 2.8628,                 3.8952,                 1.4311,                 2.5797,                 4.5054,                 1.2483,              0.0019172,              0.0019172,              0.0019172
                      4,                 2.4925,                 1.8934,                 1.2557,                 2.5825,                 2.3811,                 1.1861,                0.41612,                0.40333,                0.35073,                0.10634,                 2.4421,                 1.9317,                 1.2696,                 2.5339,                 2.3499,                 1.2381,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1366,                 1.4524,                 1.1555,                 2.2799,                 1.8306,                  1.099,                0.63235,                0.52747,                0.57885,                0.23152,                 2.2313,                 1.6616,                 1.2019,                 2.2774,                 1.8894,                 1.1709,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.8987,                 1.2205,                 1.0838,                  2.068,                 1.4717,                 1.0383,                 0.6662,                0.53556,                0.58355,                0.24334,                 2.2791,                 1.6449,                 1.2141,                 2.2524,                 1.8463,                 1.1615,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.6925,                 1.0521,                 1.0216,                 1.9287,                 1.2644,                 0.9981,                0.69189,                0.66444,                0.70987,                0.30399,                 2.0908,                  1.239,                 1.1441,                 2.1361,                 1.3789,                 1.1195,               0.001802,               0.001802,               0.001802
                      8,                 1.5682,                0.94484,                0.98918,                 1.8053,                 1.1073,                0.97872,                0.76591,                0.69799,                 0.7566,                0.36388,                 1.7659,                 0.9949,                 1.0372,                 1.9345,                 1.1726,                 1.0614,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.4714,                0.87517,                0.97065,                 1.6812,                 0.9935,                 0.9606,                0.80318,                0.69333,                0.79202,                0.39618,                 1.7321,                  1.116,                 1.0375,                 1.8108,                 1.2427,                 1.0372,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3873,                0.78657,                0.94003,                 1.6427,                0.88336,                0.93712,                0.82099,                0.74778,                0.82328,                0.41464,                 1.7136,                0.98193,                 1.0134,                 1.7737,                 1.0466,                 1.0046,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3234,                 0.7255,                0.92652,                 1.5516,                0.77592,                0.92421,                0.82921,                0.78667,                0.86479,                0.44564,                 1.6165,                0.91396,                0.99256,                  1.695,                 1.0169,                 0.9948,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2711,                0.70375,                0.91275,                 1.5101,                0.74843,                0.91739,                0.85717,                 0.7735,                0.85172,                0.46609,                 1.5892,                0.94016,                0.98017,                 1.6519,                  1.034,                0.99073,               0.001604,               0.001604,               0.001604
                     13,                  1.239,                 0.6817,                0.90763,                 1.4694,                0.72072,                0.90795,                0.86132,                0.79778,                0.85316,                0.45346,                 1.6395,                0.91468,                0.98275,                 1.7726,                 0.9955,                 0.9939,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.181,                0.64932,                0.89827,                 1.3989,                0.65784,                0.89757,                0.83314,                0.78777,                0.84587,                0.45295,                 1.5969,                0.96909,                0.98329,                 1.6768,                 1.0371,                0.99713,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.1735,                0.64146,                0.88675,                 1.3835,                0.63911,                0.88983,                0.87479,                0.83836,                0.89624,                0.47628,                 1.6415,                0.88321,                0.96913,                 1.6842,                 0.9112,                0.97267,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.1724,                0.63453,                0.89041,                 1.3766,                0.64116,                0.89341,                0.85464,                0.78392,                0.86283,                0.47351,                 1.5851,                0.92076,                0.96163,                 1.6559,                 1.0297,                0.97436,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0992,                0.59721,                  0.879,                 1.2999,                0.58424,                0.87758,                0.87196,                0.83237,                0.88856,                  0.474,                  1.589,                0.84036,                0.96754,                 1.6599,                0.87407,                 0.9698,               0.001406,               0.001406,               0.001406
                     18,                  1.051,                0.57283,                0.87149,                 1.2637,                0.55457,                0.87691,                0.88845,                0.83444,                0.88889,                0.48934,                 1.5693,                0.81913,                0.95887,                 1.6607,                0.83947,                0.96561,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0175,                0.56076,                0.86358,                 1.2493,                0.55557,                0.86683,                0.90473,                0.84778,                0.90109,                0.49481,                 1.5577,                0.78969,                0.95353,                 1.6397,                0.82364,                0.95675,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0045,                0.54411,                 0.8603,                 1.2224,                0.52274,                0.86583,                0.87263,                0.81455,                0.88104,                0.47923,                 1.5446,                0.88857,                0.95123,                  1.635,                0.93158,                 0.9605,              0.0012872,              0.0012872,              0.0012872
                     21,                0.97298,                0.52744,                0.85559,                 1.1955,                0.50596,                0.86075,                0.87414,                0.84333,                0.89418,                0.51644,                 1.4902,                0.80116,                0.93372,                 1.5954,                0.82758,                 0.9507,              0.0012476,              0.0012476,              0.0012476
                     22,                0.98092,                0.53142,                0.86094,                 1.2073,                0.50765,                0.86437,                0.90883,                0.84177,                0.91258,                0.50706,                 1.5278,                0.76912,                0.93815,                 1.6288,                0.73356,                0.95732,               0.001208,               0.001208,               0.001208
                     23,                0.97011,                0.51655,                0.85162,                 1.2046,                0.49661,                0.85854,                0.88919,                0.83889,                  0.891,                0.50649,                 1.4886,                0.79575,                0.94676,                 1.6092,                 0.8224,                0.95398,              0.0011684,              0.0011684,              0.0011684
                     24,                0.92812,                0.50176,                0.85072,                 1.1461,                0.47254,                0.85511,                0.89928,                0.84444,                0.90168,                0.50066,                 1.4885,                0.81045,                0.93305,                   1.58,                0.83624,                0.94371,              0.0011288,              0.0011288,              0.0011288
                     25,                0.95311,                0.50374,                0.84621,                 1.1424,                0.45159,                0.85361,                0.89307,                0.84667,                0.90923,                0.52151,                 1.4658,                0.79911,                0.93331,                 1.5387,                0.79607,                0.93579,              0.0010892,              0.0010892,              0.0010892
                     26,                 0.9172,                0.49066,                0.84108,                  1.104,                0.44585,                0.84344,                0.92225,                0.81667,                0.89732,                0.52119,                 1.4693,                0.80275,                0.93219,                 1.5486,                 0.8447,                0.93385,              0.0010496,              0.0010496,              0.0010496
                     27,                0.90458,                0.49375,                0.84156,                 1.0969,                0.44057,                0.84588,                0.89612,                 0.8531,                0.91919,                0.51381,                 1.4929,                0.81498,                0.92804,                 1.5498,                0.81879,                0.92805,                0.00101,                0.00101,                0.00101
                     28,                0.89819,                0.48574,                0.84169,                  1.084,                0.42588,                0.84601,                0.91523,                0.86379,                0.91325,                0.53672,                  1.447,                 0.7828,                0.92334,                 1.4933,                0.78423,                0.92769,              0.0009704,              0.0009704,              0.0009704
                     29,                0.84543,                0.46232,                0.83499,                 1.0127,                0.40796,                0.83673,                0.90858,                0.84111,                 0.9014,                0.51742,                 1.4654,                0.79543,                0.92865,                 1.5393,                0.83184,                0.93486,              0.0009308,              0.0009308,              0.0009308
                     30,                0.86054,                0.45839,                0.83691,                 1.0442,                0.41032,                0.84202,                0.91502,                0.87334,                0.92279,                0.55539,                 1.4122,                0.74594,                0.91533,                 1.4691,                0.73542,                0.91614,              0.0008912,              0.0008912,              0.0008912
                     31,                 0.8553,                0.45259,                0.83288,                 1.0386,                0.40534,                0.83637,                0.91454,                0.85111,                0.91139,                0.52884,                 1.4639,                0.78464,                0.91729,                 1.5309,                0.76444,                0.91811,              0.0008516,              0.0008516,              0.0008516
                     32,                 0.8358,                0.45063,                 0.8284,                 1.0015,                0.39681,                0.83069,                0.92826,                0.87705,                0.93048,                0.56618,                 1.3982,                0.73216,                0.91491,                 1.4468,                0.71378,                0.91469,               0.000812,               0.000812,               0.000812
                     33,                0.83715,                0.44162,                0.83053,                 1.0095,                0.39903,                0.83221,                0.90096,                0.84778,                0.91892,                0.52958,                 1.4198,                0.80628,                0.91376,                 1.5013,                0.85431,                 0.9187,              0.0007724,              0.0007724,              0.0007724
                     34,                 0.7942,                0.43075,                0.82138,                0.95808,                0.36393,                0.82403,                0.91133,                0.87222,                0.93351,                0.54559,                 1.4359,                0.73657,                 0.9154,                  1.501,                0.73998,                0.91727,              0.0007328,              0.0007328,              0.0007328
                     35,                0.79736,                 0.4273,                0.82506,                0.97252,                0.37865,                0.82544,                0.94871,                0.84267,                 0.9189,                0.54501,                 1.4086,                0.75614,                0.90695,                 1.4739,                0.76639,                0.91022,              0.0006932,              0.0006932,              0.0006932
                     36,                0.80167,                0.43307,                0.82431,                  0.963,                0.36877,                 0.8279,                0.92029,                0.86111,                0.91485,                0.55743,                 1.3977,                0.72512,                0.90778,                 1.4543,                0.75319,                0.90939,              0.0006536,              0.0006536,              0.0006536
                     37,                0.77911,                0.41739,                0.81882,                0.94177,                 0.3627,                0.82354,                0.94234,                0.87158,                0.92657,                0.53867,                 1.4318,                0.76383,                0.91279,                 1.4829,                0.76809,                0.91553,               0.000614,               0.000614,               0.000614
                     38,                0.77674,                0.42475,                0.82153,                0.93712,                0.36843,                0.82517,                0.91835,                0.82333,                0.89194,                0.52958,                 1.4265,                0.82322,                0.91095,                  1.502,                0.91065,                0.91543,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79454,                0.42285,                0.82374,                0.95605,                 0.3564,                0.82622,                0.93405,                0.86548,                0.92814,                0.55755,                 1.4083,                0.74463,                0.90872,                 1.4729,                0.75776,                0.91078,              0.0005348,              0.0005348,              0.0005348
                     40,                0.75824,                0.41072,                0.81869,                 0.9244,                0.36504,                0.82307,                0.91486,                0.85962,                0.92273,                0.54731,                   1.43,                0.74301,                0.90722,                 1.4876,                0.75823,                0.91089,              0.0004952,              0.0004952,              0.0004952
                     41,                0.72117,                  0.412,                0.81697,                0.85643,                0.32746,                0.81927,                0.89894,                0.83222,                0.88917,                0.53059,                 1.4166,                0.87954,                0.91386,                 1.4864,                0.96947,                0.91214,              0.0004556,              0.0004556,              0.0004556
                     42,                0.72112,                0.39992,                0.81763,                0.83047,                0.30808,                0.82163,                0.93576,                0.85786,                0.91555,                0.54869,                 1.3728,                0.76879,                0.90098,                 1.4475,                0.80931,                0.90522,               0.000416,               0.000416,               0.000416
                     43,                 0.6756,                0.38488,                0.81073,                0.79825,                0.29315,                0.80901,                0.91961,                0.81889,                0.88888,                0.54167,                 1.4079,                0.77779,                0.90326,                 1.4782,                0.91729,                0.90736,              0.0003764,              0.0003764,              0.0003764
                     44,                0.66306,                0.37623,                0.81208,                0.77854,                0.29633,                0.81206,                0.92086,                0.84444,                0.90541,                0.54972,                  1.374,                0.75769,                0.90084,                 1.4254,                0.83704,                0.90232,              0.0003368,              0.0003368,              0.0003368
                     45,                0.66438,                0.37663,                0.81489,                0.78264,                0.29169,                0.81469,                0.94191,                0.83778,                0.91308,                0.54143,                 1.3852,                0.76784,                0.89915,                  1.454,                0.85112,                0.90039,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.6429,                0.37099,                0.81152,                0.76821,                0.27887,                 0.8099,                0.92791,                0.85811,                0.92281,                0.55759,                 1.3565,                0.77771,                0.89752,                   1.41,                0.83803,                0.90052,              0.0002576,              0.0002576,              0.0002576
                     47,                0.63711,                0.36244,                0.80871,                0.74142,                0.27012,                0.81046,                 0.9188,                0.84236,                0.90611,                0.54068,                 1.3902,                0.81581,                0.90117,                 1.4589,                0.88737,                0.90521,               0.000218,               0.000218,               0.000218
                     48,                0.63038,                0.36312,                0.80898,                0.72154,                0.26937,                0.80856,                0.93558,                0.83918,                 0.9109,                0.54676,                 1.3783,                0.77113,                0.90139,                  1.446,                0.88094,                0.90473,              0.0001784,              0.0001784,              0.0001784
                     49,                0.62532,                0.35523,                0.81116,                0.73815,                0.27439,                0.81115,                0.92875,                0.85333,                 0.9101,                0.55173,                 1.3713,                0.77035,                0.89752,                 1.4242,                0.84673,                0.89799,              0.0001388,              0.0001388,              0.0001388
                     50,                0.61945,                0.35176,                0.80486,                0.70583,                0.26375,                0.80292,                 0.9525,                0.84111,                0.91874,                0.55812,                  1.339,                0.75893,                0.89388,                 1.3966,                0.86006,                0.89533,               9.92e-05,               9.92e-05,               9.92e-05
